address,building_match_confidence,created_at,id,latitude,location,longitude,name,postal_code,removed_at,removed_reason,source,type,updated_at
1 Fullerton Square Singapore 049178,NOMINATIM,2026-08-15T18:21:33.835675+00:00,e2595daf-b1f3-49fe-860e-9d0dec10ab5a,1.2862019,0101000020E61000004787D1BD98F6594058D988714894F43F,103.8530726,The Fullerton Hotel Singapore,,,,SassyMama,Nursing Room,2026-08-15T18:21:33.835675+00:00
1 KIM SENG PROMENADE BRIGHTON MONTESSORI CENTRES PTE. LTD. SINGAPORE 237994,LOW_REVIEW,2026-08-15T18:21:33.835675+00:00,acc8315e-77e7-41f6-9a03-fffbc1b32a04,1.29380235,0101000020E6100000768B88853BF55940080214186AB3F43F,103.83175791,Great World,237994,,,SassyMama,Nursing Room,2026-08-15T18:21:33.835675+00:00
90 HOUGANG AVENUE 10 CHENG SAN LIBRARY SINGAPORE 538766,LOW_REVIEW,2026-08-15T18:21:33.835675+00:00,5cfef56e-e478-4599-95a0-7a155c341b00,1.37253316,0101000020E6100000C148F96235F95940B9CAB453E5F5F53F,103.89388346,Hougang Mall,538766,,,SassyMama,Nursing Room,2026-08-15T18:21:33.835675+00:00
317 Alexandra Road Singapore 159965,NOMINATIM,2026-08-15T18:21:33.835675+00:00,10ac6160-68b0-4ba7-b544-882e8e89171e,1.2878737,0101000020E610000079AAE8B493F35940660EEE73219BF43F,103.8058903,IKEA,,,,SassyMama,Nursing Room,2026-08-15T18:21:33.835675+00:00
2 Orchard Turn Singapore 238801,NOMINATIM,2026-08-15T18:21:33.835675+00:00,529d43ab-c95f-434c-a079-ad328769e1d3,1.3042007,0101000020E6100000C9D00C3D3DF5594094B99E8D01DEF43F,103.8318627,ION Orchard,,,,SassyMama,Nursing Room,2026-08-15T18:21:33.835675+00:00
50 JURONG GATEWAY ROAD JEM SINGAPORE 608549,HIGH,2026-08-15T18:21:33.835675+00:00,437a1b0f-59f4-4e2d-9473-73b798bb0d74,1.33329334,0101000020E6100000AA8A00E191EF59401DC1F9662B55F53F,103.74327874,JEM,608549,,,SassyMama,Nursing Room,2026-08-15T18:21:33.835675+00:00
78 Airport Boulevard Singapore 819666,NOMINATIM,2026-08-15T18:21:33.835675+00:00,2ed1b1d9-748d-465b-be35-4908d66a2f05,1.3602243,0101000020E6100000034B64D556FF594086973B8E7AC3F53F,103.9896749,Jewel,,,,SassyMama,Nursing Room,2026-08-15T18:21:33.835675+00:00
9 BISHAN PLACE GOLDEN VILLAGE (GV BISHAN) SINGAPORE 579837,LOW_REVIEW,2026-08-15T18:21:33.835675+00:00,b92e4d9d-9f4e-460f-b949-9c2ca0d7c4e1,1.35042216,0101000020E610000084B9142B53F6594050FC6343549BF53F,103.84882619,Junction 8,579837,,,SassyMama,Nursing Room,2026-08-15T18:21:33.835675+00:00
17A Jurong Gateway Road Singapore 608513,NOMINATIM,2026-08-15T18:21:33.835675+00:00,4eb4e5f4-1dd3-4dfc-920f-94bc2f919f81,1.3358428,0101000020E6100000E9B6442EB8EF5940988D29B39C5FF53F,103.7456165,Jurong East Bus Interchange,,,,SassyMama,Nursing Room,2026-08-15T18:21:33.835675+00:00
1 Jurong West Central 2 Singapore 648886,NOMINATIM,2026-08-15T18:21:33.835675+00:00,b82dc24d-6ecf-40ba-a245-daa0a6fa18ca,1.3394964,0101000020E6100000E257ACE122ED594079C1F1C6936EF53F,103.705254,Jurong Point,,,,SassyMama,Nursing Room,2026-08-15T18:21:33.835675+00:00
11 TANJONG KATONG ROAD DNC (EDUCATION) PTE. LTD. SINGAPORE 437157,LOW_REVIEW,2026-08-15T18:21:33.835675+00:00,5adbdbde-8af5-48e5-b8ce-33362fa1a83b,1.31474239,0101000020E6100000B0CC685640F9594006B68C502F09F53F,103.89455185,KINEX,437157,,,SassyMama,Nursing Room,2026-08-15T18:21:33.835675+00:00
333A Orchard Rd Singapore 238897,NOMINATIM,2026-08-15T18:21:33.835675+00:00,52b482c3-7a03-48e4-96f8-7044b26edb92,1.302049,0101000020E6100000E3AAB2EF8AF55940CFA10C5531D5F43F,103.836605,Mandarin Gallery,,,,SassyMama,Nursing Room,2026-08-15T18:21:33.835675+00:00
6 RAFFLES BOULEVARD MARINA SQUARE SINGAPORE 039594,HIGH,2026-08-15T18:21:33.835675+00:00,6f98588a-7834-40aa-91fe-92451fb9809d,1.29185533,0101000020E6100000CB6483F1F2F65940ABD5537F70ABF43F,103.85857809,Marina Square,039594,,,SassyMama,Nursing Room,2026-08-15T18:21:33.835675+00:00
8A Marina Blvd Singapore 018984,NOMINATIM,2026-08-15T18:21:33.835675+00:00,a375d60c-eb21-46f6-8e72-f84e63c39757,1.2812488,0101000020E6100000066DCDB197F65940BFA0E0BDFE7FF43F,103.8530087,Marina Bay Link Mall,,,,SassyMama,Nursing Room,2026-08-15T18:21:33.835675+00:00
9 Raffles Blvd Singapore 039596,NOMINATIM,2026-08-15T18:21:33.835675+00:00,4834120a-5ac7-4b49-b8ca-62744aa90432,1.2928695,0101000020E6100000FAC962AC00F7594017EFC7ED97AFF43F,103.8594161,Millennia Walk,,,,SassyMama,Nursing Room,2026-08-15T18:21:33.835675+00:00
1 SAINT ANDREW'S ROAD NATIONAL GALLERY SINGAPORE SINGAPORE 178957,HIGH,2026-08-15T18:21:33.835675+00:00,29526066-f22c-430b-848e-aa64a5beea05,1.29065534,0101000020E610000088FE536282F659403BA04D3686A6F43F,103.85170801,National Gallery Singapore,178957,,,SassyMama,Nursing Room,2026-08-15T18:21:33.835675+00:00
23 Serangoon Central Singapore 556083,NOMINATIM,2026-08-15T18:21:33.835675+00:00,a1fc4272-245b-4bb5-bb99-408988e6bc27,1.3507085,0101000020E610000038E5C061D8F7594012DE1E84809CF53F,103.8725819,NEX,,,,SassyMama,Nursing Room,2026-08-15T18:21:33.835675+00:00
391A ORCHARD ROAD NGEE ANN CITY SINGAPORE 238873,HIGH,2026-08-15T18:21:33.835675+00:00,f6c46a14-ab21-48e3-a4ac-8cbbc3dc6516,1.30242417,0101000020E6100000FD9B68556BF55940A1E17CBABAD6F43F,103.83467612,Ngee Ann City,238873,,,SassyMama,Nursing Room,2026-08-15T18:21:33.835675+00:00
930 Yishun Ave 2 Singapore 769098,NOMINATIM,2026-08-15T18:21:33.835675+00:00,40f39ad9-8017-42ea-9fec-3dcad7937e89,1.428813,0101000020E6100000F0CE90E07CF55940299831056BDCF63F,103.8357469,Northpoint City,,,,SassyMama,Nursing Room,2026-08-15T18:21:33.835675+00:00
1 RAFFLES PLACE ONE RAFFLES PLACE SINGAPORE 048616,HIGH,2026-08-15T18:21:33.835675+00:00,5fada42b-dc84-4781-8cec-b00d95f658e1,1.28434955,0101000020E61000005AB8FBF877F6594057911A1CB28CF43F,103.85107255,One Raffles Place,048616,,,SassyMama,Nursing Room,2026-08-15T18:21:33.835675+00:00
6A Shenton Way Singapore 068815,NOMINATIM,2026-08-15T18:21:33.835675+00:00,7fd6268f-5621-42e2-a5f9-76b1b8535d6d,1.2770527,0101000020E610000050C2F1214DF65940C64BDCCFCE6EF43F,103.8484578,OUE Downtown Gallery,,,,SassyMama,Nursing Room,2026-08-15T18:21:33.835675+00:00
390 Orchard Rd Singapore 238871,NOMINATIM,2026-08-15T18:21:33.835675+00:00,cd343d69-8ddc-4e33-b05a-88d552b76309,1.3067203,0101000020E61000007C838A0519F55940174F988B53E8F43F,103.8296522,Palais Renaissance,,,,SassyMama,Nursing Room,2026-08-15T18:21:33.835675+00:00
68 ORCHARD ROAD GOLDEN VILLAGE (GV PLAZA) SINGAPORE 238839,LOW_REVIEW,2026-08-15T18:21:33.835675+00:00,71db8462-15a1-4048-9e83-312f570bda17,1.30082072,0101000020E61000004EC10A9515F65940912A876229D0F43F,103.84506727,Plaza Singapura,238839,,,SassyMama,Nursing Room,2026-08-15T18:21:33.835675+00:00
8 Sentosa Gateway Singapore 098269,NOMINATIM,2026-08-15T18:21:33.835675+00:00,04838416-ebe5-4f5f-89c0-f43a869eb594,1.2556955,0101000020E6100000D16A92697EF45940F9BF232A5417F43F,103.8202156,Resorts World Sentosa,,,,SassyMama,Nursing Room,2026-08-15T18:21:33.835675+00:00
80 MANDAI LAKE ROAD SINGAPORE ZOO SINGAPORE 729826,LOW_REVIEW,2026-08-15T18:21:33.835675+00:00,0973e839-9dc3-4a6d-a068-8ccfd6779573,1.40559439,0101000020E6100000BA4A47C788F259407B0DC18B507DF63F,103.78959829,River Wonders,729826,,,SassyMama,Nursing Room,2026-08-15T18:21:33.835675+00:00
6 SCOTTS ROAD SCOTTS SQUARE SINGAPORE 228209,HIGH,2026-08-15T18:21:33.835675+00:00,1a3ea423-a5e1-4b9b-8bb7-32d4325e1682,1.30579943,0101000020E61000007795921851F5594071546BF18DE4F43F,103.83307471,Scotts Square,228209,,,SassyMama,Nursing Room,2026-08-15T18:21:33.835675+00:00
